client_id,loan_type,loan_amount,repaid,loan_id,loan_start,loan_end,rate
46109,home,13672,0,10243,2002-04-16,2003-12-20,2.15
46109,credit,9794,0,10984,2003-10-21,2005-07-17,1.25
46109,home,12734,1,10990,2006-02-01,2007-07-05,0.68
46109,cash,12518,1,10596,2010-12-08,2013-05-05,1.24
46109,credit,14049,1,11415,2010-07-07,2012-05-21,3.13
46109,home,6935,0,11501,2006-09-17,2008-11-26,1.94
46109,cash,6177,1,11141,2007-03-12,2009-04-26,9.48
46109,home,12656,0,11658,2006-05-26,2007-10-15,4.14
46109,home,11062,1,11611,2012-09-12,2014-03-14,5.48
46109,other,4050,1,10828,2003-12-06,2005-08-19,4.26
46109,other,1618,0,11661,2006-08-28,2009-04-23,6.49
46109,home,8406,0,11259,2011-10-22,2013-06-11,0.5
46109,cash,9057,1,10856,2005-06-17,2007-03-01,0.86
46109,credit,3524,0,11867,2005-09-18,2007-08-27,5.98
46109,other,10853,0,11961,2013-11-26,2015-08-06,2.82
46109,credit,7339,1,10328,2001-09-24,2003-08-31,1.29
46109,credit,11953,1,11307,2013-05-15,2015-03-15,3.3
46109,other,10067,1,10422,2004-04-05,2006-10-13,3.12
46109,credit,12009,0,11424,2001-03-25,2003-10-04,0.79
46109,credit,559,1,10599,2008-02-15,2009-11-25,4.15
49545,other,13010,1,11345,2009-12-13,2011-08-30,1.94
49545,cash,3851,1,11033,2011-04-27,2014-01-07,0.81
49545,other,8419,1,11054,2006-10-24,2009-07-05,0.83
49545,home,11799,0,11030,2001-04-24,2003-11-08,6.52
49545,cash,10422,1,10709,2008-11-04,2010-09-14,0.05
49545,home,14971,1,11247,2011-07-26,2013-12-15,0.15
49545,other,4131,0,10939,2008-10-13,2010-02-26,4.07
49545,credit,4458,1,10192,2013-02-11,2014-09-11,3.6
49545,other,8172,1,11866,2002-02-06,2004-10-02,1.41
49545,cash,14946,1,11043,2002-06-28,2004-03-17,5.97
49545,home,13618,1,10691,2001-11-17,2003-05-19,2.63
49545,home,7061,1,11514,2014-03-16,2015-12-30,4.23
49545,other,9580,0,11403,2001-07-28,2003-03-15,1.64
49545,other,11434,0,10864,2001-09-22,2004-05-26,3.28
49545,credit,10982,0,11573,2005-10-26,2007-06-30,5.44
49545,credit,11597,0,11234,2001-09-16,2003-07-13,4.38
49545,other,14074,1,11215,2013-04-23,2014-11-16,1.22
49545,home,10519,1,10425,2001-09-27,2004-03-04,1.14
49545,cash,14388,1,11914,2011-08-05,2013-05-17,3.92
49545,home,8354,1,10816,2000-03-08,2001-08-02,0.45
41480,home,3812,0,11861,2005-06-18,2007-10-19,1.01
41480,credit,2947,1,10302,2005-11-10,2008-03-16,10.49
41480,other,3332,0,10313,2012-09-28,2014-09-21,0.88
41480,cash,3952,0,10840,2008-12-24,2010-08-21,0.36
41480,home,14290,0,10888,2003-11-01,2006-04-29,3.76
41480,cash,12581,1,11461,2009-10-29,2011-07-08,1.94
41480,other,10967,1,11022,2013-12-28,2016-04-28,2.52
41480,credit,8624,1,11277,2011-11-09,2013-12-05,1.18
41480,home,14399,1,11328,2005-06-09,2007-11-16,1.21
41480,other,4922,1,10251,2005-09-19,2007-05-19,5.79
41480,cash,6903,0,11487,2006-01-16,2008-08-08,0.9
41480,other,4491,1,10511,2002-06-08,2004-08-09,2.82
41480,home,9766,0,10567,2008-06-03,2010-01-08,9.08
41480,credit,9302,0,11466,2000-07-06,2002-02-11,1.7
41480,home,921,1,10292,2000-05-22,2003-01-13,2.58
41480,home,11154,1,10991,2014-08-29,2016-06-11,6.48
41480,home,12934,0,11878,2006-11-11,2008-10-30,1.5
41480,cash,11016,1,11890,2008-10-29,2011-01-26,1.07
41480,home,10773,0,10755,2003-09-16,2005-08-14,6.51
41480,credit,811,0,11430,2009-08-02,2012-01-04,0.43
46180,home,3022,0,11204,2003-11-22,2005-05-18,8.39
46180,credit,9282,1,10664,2008-03-03,2010-05-16,3.16
46180,cash,14007,1,10416,2003-12-05,2005-05-14,3.95
46180,cash,5943,0,11317,2011-10-18,2013-11-03,6.86
46180,other,3834,0,10887,2014-05-03,2016-02-24,1.38
46180,other,7020,0,11553,2000-11-07,2003-04-13,4.47
46180,credit,9216,1,11837,2002-06-17,2004-11-14,3.2
46180,cash,6985,1,11555,2004-02-04,2005-10-10,0.57
46180,home,14081,0,11026,2013-11-02,2016-05-04,3.05
46180,other,8643,0,10379,2000-11-03,2003-03-31,1.29
