loan_id,payment_amount,payment_date,missed
10243,2369,2002-05-31,1
10243,2439,2002-06-18,1
10243,2662,2002-06-29,0
10243,2268,2002-07-20,0
10243,2027,2002-07-31,1
10243,2243,2002-09-16,1
10984,1466,2003-12-29,0
10984,1887,2004-02-01,1
10984,1360,2004-03-09,1
10984,1350,2004-03-29,0
10984,1728,2004-05-03,1
10990,1981,2006-04-05,0
10990,2284,2006-04-27,1
10990,1304,2006-05-12,0
10990,2253,2006-06-05,1
10990,2453,2006-07-17,0
10990,1903,2006-07-30,0
10596,1612,2011-01-25,0
10596,1499,2011-03-09,1
10596,1414,2011-04-10,1
10596,1252,2011-04-25,1
10596,1904,2011-06-05,1
11415,2565,2010-09-19,0
11415,1525,2010-10-15,1
11415,1897,2010-11-14,1
11415,1813,2010-12-24,0
11415,1787,2011-01-22,0
11415,1799,2011-02-23,0
11415,2022,2011-03-09,1
11415,2644,2011-04-22,1
11501,828,2006-11-22,1
11501,1251,2006-12-12,0
11501,1107,2006-12-30,1
11501,1380,2007-01-15,0
11501,783,2007-02-27,0
11501,1094,2007-04-04,1
11501,738,2007-04-16,0
11501,928,2007-05-05,0
11501,887,2007-06-20,1
11141,1146,2007-05-18,1
11141,819,2007-06-12,0
11141,1215,2007-07-18,1
11141,752,2007-08-09,1
11141,927,2007-08-22,1
11141,1220,2007-09-20,0
11141,810,2007-10-14,0
11141,754,2007-10-27,0
11658,2492,2006-07-15,1
11658,1294,2006-08-18,0
11658,2002,2006-09-28,1
11658,2453,2006-10-08,0
11658,2110,2006-10-20,0
11611,1591,2012-11-30,1
11611,1897,2012-12-10,1
11611,2066,2013-01-27,0
11611,1569,2013-02-15,1
11611,1947,2013-03-24,0
10828,568,2004-02-21,1
10828,652,2004-03-11,1
10828,691,2004-03-29,0
10828,771,2004-04-21,1
10828,740,2004-06-08,1
11661,274,2006-11-14,0
11661,295,2006-12-13,0
11661,181,2006-12-29,1
11661,304,2007-01-21,0
11661,185,2007-03-05,1
11661,298,2007-04-02,1
11661,218,2007-05-13,1
11661,288,2007-06-07,0
11661,302,2007-07-19,1
11259,1261,2011-12-24,0
11259,1498,2012-01-29,0
11259,1454,2012-03-14,1
11259,1645,2012-04-06,0
11259,1666,2012-05-06,0
11259,1635,2012-05-16,0
11259,880,2012-07-02,1
11259,1416,2012-08-09,0
11259,1257,2012-08-21,0
10856,1102,2005-07-31,0
10856,1464,2005-08-17,1
10856,1739,2005-09-22,0
10856,922,2005-10-17,0
10856,1629,2005-12-03,0
10856,917,2006-01-16,1
10856,1716,2006-02-01,0
10856,1147,2006-03-20,1
11867,695,2005-12-05,1
11867,564,2006-01-02,1
11867,394,2006-02-07,1
11867,617,2006-02-22,1
11867,692,2006-03-14,1
11867,665,2006-03-27,0
11867,416,2006-05-14,0
11961,1623,2014-01-30,1
11961,1883,2014-02-09,1
11961,1510,2014-02-23,1
11961,1983,2014-03-13,1
11961,1780,2014-04-12,0
11961,1495,2014-05-05,1
11961,1570,2014-05-28,0
11961,1827,2014-06-12,0
10328,895,2001-11-24,0
10328,1272,2001-12-18,1
10328,863,2002-01-23,1
10328,1236,2002-02-22,0
10328,858,2002-03-08,0
10328,939,2002-03-27,0
10328,922,2002-04-25,0
10328,1156,2002-05-29,0
11307,1562,2013-07-31,0
11307,1694,2013-09-04,0
11307,1574,2013-10-04,1
11307,1955,2013-10-15,1
11307,2207,2013-11-25,0
11307,1424,2014-01-13,0
11307,2199,2014-02-20,0
10422,1901,2004-06-09,1
10422,1793,2004-07-09,0
10422,1181,2004-08-05,1
10422,1110,2004-08-28,0
10422,2009,2004-09-27,0
10422,1122,2004-11-07,1
11424,1289,2001-05-23,0
11424,1289,2001-07-06,0
11424,1322,2001-08-08,0
11424,2038,2001-09-14,1
11424,1493,2001-10-14,1
11424,1544,2001-11-16,0
11424,2321,2001-12-01,0
10599,90,2008-03-31,1
10599,58,2008-05-12,0
10599,94,2008-05-24,1
10599,84,2008-06-09,1
10599,61,2008-06-24,0
11345,2227,2010-02-05,1
11345,1493,2010-03-16,1
11345,1657,2010-04-14,0
11345,1681,2010-05-21,1
11345,1480,2010-07-02,1
11033,534,2011-07-09,0
11033,553,2011-07-19,1
11033,471,2011-08-05,0
11033,416,2011-09-20,1
11033,685,2011-10-22,1
11033,508,2011-11-07,0
11033,409,2011-11-28,1
11054,1589,2007-01-10,1
11054,1579,2007-01-22,0
11054,1212,2007-02-17,1
11054,1028,2007-03-10,1
11054,859,2007-04-16,1
11054,1104,2007-05-19,1
11054,1651,2007-07-07,1
11054,1480,2007-07-18,0
11030,1257,2001-06-21,1
11030,1585,2001-08-09,0
11030,1901,2001-09-08,1
11030,2314,2001-10-14,1
11030,2097,2001-10-26,0
11030,1323,2001-12-14,1
11030,1770,2002-01-19,1
11030,1712,2002-02-05,1
10709,1694,2008-12-23,0
10709,1923,2009-02-05,1
10709,1197,2009-03-26,0
10709,2074,2009-04-29,0
10709,1255,2009-05-22,0
10709,1638,2009-07-02,1
10709,1783,2009-07-21,0
10709,1298,2009-08-26,0
